"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
NOP,1989,11,1719,228,4,157,,individual
KOD,1989,0,1290,3,6825,20,,regional;local;individual
CHG,1989,4,1159,68,28,2,,individual;local
SSE,1989,84,1131,815,45763,1256,,regional
COP,1989,31,1028,195,26,6,,individual
NSE,1989,184,664,1078,13636,696,,individual;regional
YAK,1989,6,330,311,61,17,,individual
PWS,1989,1,138,203,21860,996,,local
KSK,1989,67,83,556,1,802,,individual;regional
BER,1989,0,9,27,0,0,,individual;regional
ALU,1989,0,8,0,7,0,,individual;local
YUK,1989,102,0,85,0,1253,,local;regional
NRS,1989,6,0,44,0,43,,regional;individual
KTZ,1989,0,0,0,0,256,,regional;local
BRB,1988,45,13990,203,956,1470,,local;individual;regional
YAK,1988,7,162,260,122,30,,local;regional;individual
CKI,1988,31,7165,571,1396,1037,,local;regional
KOD,1988,22,2701,303,14564,1427,,regional;local
NOP,1988,17,1528,234,65,393,,individual;local
SOP,1988,11,1474,506,7045,1909,,regional;individual
SSE,1988,78,888,349,9055,2078,,local
CHG,1988,7,796,370,2997,267,,regional;individual
COP,1988,31,577,316,3,11,,local;individual
NSE,1988,159,410,437,2031,1428,,individual;local;regional
PWS,1988,1,184,76,11829,1840,,regional;local;individual
YAK,1988,7,162,260,122,30,,local;regional;individual
KSK,1988,75,150,626,38,1447,,regional
BER,1988,0,7,87,0,0,,local;regional;individual
ALU,1988,0,4,0,183,0,,individual
NRS,1988,4,1,37,75,107,,individual;local;regional
YUK,1988,101,0,98,1,1310,,regional;local;individual
KTZ,1988,0,0,0,0,353,,individual;regional
BRB,1987,75,16069,65,0,1529,,regional;local
CKI,1987,41,9718,466,311,511,,individual;local;regional
CHG,1987,3,1899,150,247,127,,regional
KOD,1987,5,1794,193,5076,682,,regional;individual
SOP,1987,9,1450,225,1209,1376,,regional;individual
NOP,1987,14,1209,172,3,369,,local;regional
COP,1987,41,1181,112,27,14,,individual
NSE,1987,212,577,672,5635,1523,,regional;local;individual
