"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
CKI,1965,10,1426,154,140,345,,individual
SOP,1965,2,880,34,2859,538,,local
COP,1965,15,818,71,1,0,,local
CHG,1965,2,631,9,1118,121,,local;regional
SSE,1965,102,485,593,5710,289,,local
NSE,1965,184,477,829,5165,1181,,regional;individual
KOD,1965,1,346,27,2887,431,,individual;regional
NOP,1965,6,199,34,2,70,,regional;individual;local
YAK,1965,1,123,125,4,4,,regional;individual;local
PWS,1965,1,116,45,2460,201,,local;individual
BER,1965,0,11,52,0,0,,regional
KSK,1965,24,2,12,0,4,,individual;regional;local
YUK,1965,118,0,1,1,23,,individual
NRS,1965,1,0,2,0,37,,regional;local
KTZ,1965,0,0,0,0,40,,regional
ALU,1965,0,0,0,0,0,No fishery,regional;individual;local
BRB,1964,140,5596,37,1550,803,,regional;local
CKI,1964,5,991,462,4287,1402,,individual;local;regional
COP,1964,13,700,243,1,0,,local
CHG,1964,1,558,2,1683,334,,local;individual;regional
KOD,1964,1,498,36,12044,1134,,individual
SSE,1964,118,466,722,11259,1193,,local
SOP,1964,2,371,14,2722,751,,individual
NSE,1964,238,365,696,7282,738,,local;regional;individual
NOP,1964,4,235,37,7,139,,local
YAK,1964,2,92,170,40,6,,individual
PWS,1964,0,67,31,4207,539,,local;individual;regional
BER,1964,0,13,79,0,0,,regional
CKI,1963,18,958,204,234,526,,regional
CHG,1963,2,409,10,1662,113,,regional
KOD,1963,0,407,57,5480,305,,local;regional
COP,1963,11,375,203,1,0,,regional;individual
NSE,1963,174,326,743,13921,831,,regional;local;individual
SSE,1963,84,299,386,5145,637,,local;individual;regional
KSK,1964,21,13,29,1,1,,local
YUK,1964,94,0,2,2,8,,individual
NRS,1964,2,0,0,13,145,,local;individual;regional
KTZ,1964,0,0,0,0,76,,regional;local
ALU,1964,0,0,0,194,2,,local
BRB,1963,62,2871,41,0,370,,regional;individual
CKI,1963,18,958,204,234,526,,regional
CHG,1963,2,409,10,1662,113,,regional
KOD,1963,0,407,57,5480,305,,local;regional
COP,1963,11,375,203,1,0,,regional;individual
NSE,1963,174,326,743,13921,831,,regional;local;individual
SSE,1963,84,299,386,5145,637,,local;individual;regional
NOP,1963,4,225,41,7,56,,local;individual
SOP,1963,2,204,17,2303,464,,individual;local
PWS,1963,2,60,49,5295,943,,local;regional;individual
YAK,1963,1,53,146,79,11,,regional;individual
BER,1963,0,23,89,0,0,,local;regional
ALU,1963,0,5,0,90,0,,regional
KSK,1963,19,0,16,0,0,,regional;individual;local
YUK,1963,117,0,6,6,0,,individual;regional
NRS,1963,7,0,17,56,155,,local;individual
KTZ,1963,0,0,0,0,54,,local;regional
BRB,1962,84,4718,39,914,678,,individual;local
CKI,1962,20,1173,358,4960,1150,,local
KOD,1962,1,785,55,14114,795,,individual;local;regional
COP,1962,15,678,175,2,1,,regional
SOP,1962,3,408,16,1961,823,,individual
CHG,1962,0,365,1,1518,364,,individual;regional;local
SSE,1962,73,346,642,11007,971,,local;regional;individual
NSE,1962,130,345,391,550,1007,,regional
NOP,1962,6,256,40,28,37,,regional;individual
YAK,1962,3,81,190,28,18,,regional;local;individual
BER,1962,0,72,56,0,0,,regional;individual
PWS,1962,2,54,32,6742,892,,regional
KSK,1962,21,10,13,4,46,,individual;regional
ALU,1962,0,5,0,2002,1,,local;individual;regional
YUK,1962,95,0,23,23,54,,individual;regional;local
NRS,1962,7,0,9,33,183,,local;individual;regional
KTZ,1962,0,0,0,0,130,,regional;individual
BRB,1961,89,11914,21,1,728,,regional;local;individual
CKI,1961,20,1185,119,337,405,,local;individual;regional
COP,1961,8,528,134,2,0,,individual;regional
SOP,1961,1,457,10,1728,749,,individual
NSE,1961,127,449,360,8698,1504,,individual;local;regional
KOD,1961,1,408,29,3926,519,,local
NOP,1961,6,388,25,3,153,,local;regional;individual
CHG,1961,0,323,3,445,183,,local
SSE,1961,100,212,399,3875,1044,,individual
YAK,1961,3,83,130,65,12,,local;individual
PWS,1961,0,69,11,2298,224,,regional
BER,1961,1,60,51,0,0,,individual;local;regional
ALU,1961,0,3,0,94,0,,individual
KSK,1961,23,2,5,0,19,,individual;local
YUK,1961,120,0,3,3,42,,regional;individual
NRS,1961,5,0,14,34,48,,regional;individual;local
KTZ,1961,0,0,0,0,0,No reported catch,local;regional
BRB,1960,112,13705,16,302,1316,,individual;regional;local
CKI,1960,28,948,314,2023,776,,local;individual
CHG,1960,0,710,8,198,152,,regional;individual;local
NOP,1960,10,693,44,35,607,,regional;local
SOP,1960,2,385,3,1511,1071,,regional
KOD,1960,1,363,54,6738,1300,,individual
COP,1960,9,361,138,0,0,,individual;local;regional
NSE,1960,185,329,306,1429,485,,local;regional
SSE,1960,124,211,294,1542,521,,local;regional
YAK,1960,1,48,121,14,12,,individual;local;regional
PWS,1960,2,35,31,1842,382,,local
BER,1960,0,33,70,0,0,,individual
ALU,1960,0,8,0,445,0,,individual;regional;local
KSK,1960,6,6,5,0,0,,individual;local
YUK,1960,68,0,0,0,0,,individual
KTZ,1960,0,0,0,0,0,No reported catch,regional;local;individual
BRB,1959,84,4608,17,0,482,,regional;local
NOP,1959,29,635,59,10,405,,local
CKI,1959,33,634,113,137,411,,individual
CHG,1959,1,428,5,67,187,,individual;regional;local
SSE,1959,150,364,354,3569,523,,individual
NSE,1959,207,336,530,4269,687,,regional;individual;local
KOD,1959,2,330,15,1967,734,,individual;regional
COP,1959,10,300,132,1,0,,regional;local;individual
SOP,1959,1,217,8,885,576,,individual
GSE,1959,6,,,,,,local;regional;individual
YAK,1959,1,,,,,,individual
BER,1959,0,,,,,,individual;local
ALU,1959,0,,,,,,individual
PWS,1959,1,,,,,,local;individual;regional
KSK,1959,4,,,,,,local;regional;individual
YUK,1959,78,,,,,,local
KTZ,1959,0,,,,,No reported catch,local;individual
BRB,1958,103,2986,136,1136,358,,local
SSE,1958,138,541,500,6460,1169,,local
CKI,1958,23,497,242,2598,596,,local
NOP,1958,15,474,57,60,255,,local;regional
NSE,1958,184,388,357,3315,1580,,individual
CHG,1958,1,320,0,131,189,,individual;regional
COP,1958,7,307,82,9,0,,individual;regional
KOD,1958,2,288,21,4039,931,,local;individual
SOP,1958,1,186,71,1385,841,,local;regional;individual
YAK,1958,1,42,99,62,18,,local;individual
GSE,1958,2,36,0,2,20,,regional
BER,1958,0,24,21,0,0,,regional;local
PWS,1958,12,14,23,6290,687,,regional;individual;local
KSK,1958,0,0,0,0,0,No reported catch,individual
YUK,1958,64,0,0,0,0,,individual
KTZ,1958,0,0,0,0,0,No reported catch,local;regional;individual
ALU,1958,0,0,0,613,0,,regional;individual;local
BRB,1957,91,6276,69,0,259,,individual
CKI,1957,43,671,127,307,1208,,individual
COP,1957,8,542,59,2,1,,individual
SSE,1957,121,501,488,4683,1428,,regional;local;individual
NSE,1957,173,420,666,2158,1909,,regional
SOP,1957,6,342,50,913,1281,,individual;local
NOP,1957,1,328,18,3,275,,local;regional
CHG,1957,1,305,5,305,216,,regional;local;individual
KOD,1957,1,234,35,4716,1208,,regional;local;individual
YAK,1957,4,111,63,16,32,,individual;regional
PWS,1957,1,66,21,649,706,,individual
GSE,1957,2,40,2,0,44,,local;regional
BER,1957,0,29,27,0,0,,local;regional;individual
ALU,1957,2,27,0,0,14,,local;regional
KSK,1957,0,0,0,0,0,No reported catch,regional;local
YUK,1957,64,0,0,0,0,,local
KTZ,1957,0,0,0,0,0,No reported catch,local
BRB,1956,66,8881,63,92,316,,local;regional;individual
NOP,1956,4,1371,8,28,427,,individual;regional
CKI,1956,65,1295,208,1803,870,,local;regional;individual
CHG,1956,1,670,5,177,267,,local;individual;regional
SOP,1956,5,641,62,2741,1619,,local;individual;regional
COP,1956,12,541,109,1,0,,regional
NSE,1956,126,470,420,3635,1142,,individual
SSE,1956,107,337,366,10076,1535,,individual;regional
KOD,1956,1,271,53,3319,705,,local
PWS,1956,0,156,35,4525,507,,individual
YAK,1956,6,108,130,17,24,,local;individual;regional
BER,1956,0,41,53,0,0,,local
GSE,1956,0,0,0,0,0,,individual
KSK,1956,0,0,0,0,0,No reported catch,local;individual
YUK,1956,62,0,0,0,11,,regional;individual
KTZ,1956,0,0,0,0,0,No reported catch,local;individual;regional
ALU,1956,0,0,0,5,0,,individual;regional;local
BRB,1955,75,4549,21,0,212,,local;regional;individual
CKI,1955,46,1064,180,1286,317,,local;individual
COP,1955,20,637,158,0,0,,local
NOP,1955,4,587,6,1,130,,individual;local
SOP,1955,5,550,45,2529,688,,individual;regional;local
CHG,1955,1,353,0,823,291,,individual
NSE,1955,218,336,670,4060,1116,,individual;local
SSE,1955,151,234,467,5248,388,,regional;local;individual
KOD,1955,2,164,35,10794,482,,regional;individual;local
YAK,1955,4,111,202,26,24,,regional;individual;local
GSE,1955,0,66,0,0,1,,local;regional
BER,1955,0,34,70,0,0,,individual;regional;local
PWS,1955,0,13,1,27,5,Eshamy District only,regional
ALU,1955,0,13,0,31,0,,regional;local
KSK,1955,0,0,0,0,0,No reported catch,individual
YUK,1955,56,0,0,0,0,,individual;local
KTZ,1955,0,0,0,0,0,No reported catch,regional;local
BRB,1954,56,4653,24,103,401,,regional;individual
CKI,1954,65,1247,337,2460,776,,regional;local
COP,1954,16,1100,158,0,0,,regional;individual;local
NSE,1954,226,641,888,2406,3239,,regional;local;individual
SOP,1954,4,636,49,2033,1413,,regional;individual;local
SSE,1954,169,440,615,6462,988,,individual
NOP,1954,3,355,35,18,405,,local;regional;individual
KOD,1954,1,325,66,8439,1251,,individual;regional
YAK,1954,2,127,267,40,16,,individual;local;regional
CHG,1954,0,92,0,348,124,,regional;individual;local
GSE,1954,0,12,0,2,1,,individual;local
PWS,1954,0,6,0,12,6,Eshamy District only,regional
ALU,1954,0,6,1,566,0,,individual;local
BER,1954,0,0,92,0,0,,regional;individual
KSK,1954,0,0,0,0,0,,individual;regional
YUK,1954,65,0,0,0,14,,local;individual;regional
KTZ,1954,0,0,0,0,0,No reported catch,local;regional
BRB,1953,,,,0,387,,individual;local
CKI,1953,,,,550,537,,local;individual
SOP,1953,,,,2744,1465,,individual
NSE,1953,,,,1175,2060,,regional;individual;local
SSE,1953,,,,3798,1466,,local;individual
COP,1953,,,,0,0,,individual;regional
NOP,1953,,,,18,224,,individual;regional;local
KOD,1953,,,,5175,548,,individual
CHG,1953,,,,137,230,,regional;individual
YAK,1953,,,,9,16,,individual
PWS,1953,,,,1996,353,,local
BER,1953,,,,0,0,,individual;local;regional
ALU,1953,,,,69,1,,local;individual
GSE,1953,,,,0,0,,regional
KSK,1953,,,,0,0,No reported catch,regional
YUK,1953,,,,0,6,,regional;local
KTZ,1953,,,,0,0,No reported catch,regional
BRB,1952,,,,14,249,,individual;local;regional
CKI,1952,,,,2277,451,,local
COP,1952,,,,6,1,,local;individual;regional
SOP,1952,,,,909,1041,,local
KOD,1952,,,,4577,1243,,local;regional
SSE,1952,,,,6335,2498,,local;regional
NOP,1952,,,,1,247,,individual
NSE,1952,,,,3431,1668,,local;individual;regional
CHG,1952,,,,82,152,,local;regional
YAK,1952,,,,37,13,,individual;regional
PWS,1952,,,,2162,550,,regional;local;individual
ALU,1952,,,,32,26,,individual;regional;local
GSE,1952,,,,0,0,,local;individual;regional
BER,1952,,,,0,0,,individual;regional
KSK,1952,,,,0,0,No reported catch,individual;regional;local
YUK,1952,,,,11,0,,regional;local;individual
KTZ,1952,,,,0,0,No reported catch,individual;regional
BRB,1951,40,4327,42,0,157,,regional;individual;local
CKI,1951,188,2481,285,417,292,,regional
KOD,1951,2,468,49,2100,483,,local;individual
COP,1951,17,452,154,0,0,,regional
NSE,1951,262,390,1925,5792,2311,,individual
NOP,1951,1,359,33,20,203,,individual
SSE,1951,211,281,1257,16393,1807,,local;individual;regional
SOP,1951,2,264,56,2845,683,,local
CHG,1951,1,259,7,19,26,,local;regional
PWS,1951,4,208,48,803,549,,individual;local
YAK,1951,1,148,128,35,5,,individual;local
ALU,1951,0,12,0,1,95,,individual
BER,1951,0,4,46,0,0,,individual
GSE,1951,0,0,0,0,0,,individual;regional
KSK,1951,4,0,0,0,0,,individual;regional;local
YUK,1951,56,0,0,0,0,,individual;regional;local
KTZ,1951,0,0,0,0,0,No reported catch,regional;individual
BRB,1950,45,7157,29,32,146,,regional;individual
CKI,1950,163,2642,351,1132,464,,local;individual;regional
SOP,1950,4,1745,71,1614,563,Catches from Unalaksa to Castle Cape,regional
KOD,1950,2,921,41,5305,685,,local;individual;regional
COP,1950,18,800,146,0,0,Includes Bering River; pink and chum estimated from canned,individual
CHG,1950,1,353,15,617,92,,individual
NSE,1950,192,306,621,1687,1438,Includes Yakutat catches,individual;regional
SSE,1950,187,246,1031,7737,3340,,local;regional
NOP,1950,1,128,38,0,218,,local;individual;regional
PWS,1950,1,75,74,1851,456,,regional;local
YAK,1950,0,0,0,0,0,Yakutat catch included in No SE AK catch,regional;local;individual
GSE,1950,0,0,,0,0,,individual;local;regional
BER,1950,0,0,,0,0,Bering River catches included in Copper River catches,local
KSK,1950,0,0,0,0,0,No reported catch,local;individual
YUK,1950,42,0,0,0,0,,individual;regional;local
KTZ,1950,0,0,0,0,0,No reported catch,regional;local;individual
ALU,1950,0,0,0,0,0,Catches included in S. peninsula catches or none,local
BRB,1949,51,6449,26,0,269,,regional;local;individual
CKI,1949,111,2153,280,433,239,,individual;regional
KOD,1949,1,892,54,4928,700,,regional;local
SOP,1949,4,637,19,1544,561,Catches from Unalaksa to Castle Cape,local;individual
CHG,1949,1,543,6,92,129,,individual
COP,1949,9,442,173,0,0,Includes Bering River catches,local;regional;individual
SSE,1949,257,221,1364,33981,1953,,local;individual
NSE,1949,222,191,872,9922,941,,regional;individual;local
NOP,1949,1,137,26,0,41,,individual;local
PWS,1949,1,93,116,6089,828,,individual;local;regional
YAK,1949,1,78,45,18,0,,regional
GSE,1949,0,0,0,0,0,,individual;local;regional
BER,1949,0,0,0,0,0,Bering River catches included in Copper River catches,individual;local;regional
KSK,1949,0,0,0,0,0,No reported catch,regional;local
YUK,1949,36,0,0,0,0,,regional;individual
KTZ,1949,0,0,0,0,0,No reported catch,regional;individual
ALU,1949,0,0,0,0,0,Catches included in S. peninsula catches or none,local
BRB,1948,49,14544,12,53,497,,regional
CKI,1948,106,2035,408,1660,439,,individual;local
KOD,1948,1,1260,32,5968,331,,individual
NOP,1948,2,478,17,0,162,,local
CHG,1948,1,370,1,1072,369,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,regional;local;individual
SOP,1948,1,286,39,1684,1140,Catches from Unalaksa to Castle Cape,individual;local
SSE,1948,266,244,1324,12770,3094,,regional;local
PWS,1948,0,208,35,2461,458,,individual
NSE,1948,205,199,716,1482,904,,local;individual
COP,1948,6,173,267,0,0,Includes Bering River catches,local
YAK,1948,9,82,106,100,7,,individual;regional;local
GSE,1948,0,0,0,0,0,,regional;local
BER,1948,0,0,0,0,0,Bering River catches included in Copper River catches,individual
KSK,1948,0,0,0,0,0,No reported catch,regional
YUK,1948,34,0,0,0,0,,local
KTZ,1948,0,0,0,0,0,No reported catch,local;individual;regional
ALU,1948,0,0,0,0,0,Catches included in S. peninsula catches or none,local;regional
BRB,1947,42,18642,10,0,216,,individual
CHG,1947,1,2085,5,472,72,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,local
CKI,1947,107,1474,444,682,279,,regional;individual
SOP,1947,3,1137,56,2320,1219,Catches from Unalaksa to Castle Cape,local;individual;regional
KOD,1947,0,993,76,8857,295,Chinook and coho and chum estimated from canned production,individual;regional;local
NSE,1947,170,367,474,3336,1235,,individual;regional;local
NOP,1947,0,358,0,0,75,,local;regional
COP,1947,15,354,279,0,0,Includes Bering River catches,local;regional
SSE,1947,319,250,997,10681,2122,,individual;local
PWS,1947,1,199,66,8077,706,,regional;individual;local
YAK,1947,8,129,75,25,3,,local;regional
GSE,1947,0,0,0,0,0,,local;individual
BER,1947,0,0,0,0,0,Bering River catches included in Copper River catches,individual;regional;local
KSK,1947,5,0,0,0,0,,regional;individual;local
YUK,1947,54,0,0,0,0,,individual
KTZ,1947,0,0,0,0,0,No reported catch,regional;individual;local
ALU,1947,0,0,0,0,0,Catches included in S. peninsula catches or none,local;regional
BRB,1946,27,8051,51,41,236,,individual
CKI,1946,64,1474,581,1339,384,,individuals
CHG,1946,2,869,7,907,265,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,local
KOD,1946,0,839,56,9546,298,Chinook and coho and chum estimated from canned production,regional;local;individuall
SOP,1946,6,752,151,1964,1220,Catches from Unalaksa to Castle Cape,regional;individual
NOP,1946,2,698,0,0,36,,individual;local;regional
COP,1946,24,550,284,0,0,Includes Bering River catches,regional;individual;local
SSE,1946,298,402,1833,21318,2402,,local;individual
NSE,1946,261,370,411,3442,1608,,local;individual;regional
YAK,1946,9,116,123,62,1,,regional;local
PWS,1946,2,111,159,8026,757,,regional;individual;local
GSE,1946,0,0,0,0,0,,local;regional;individual
BER,1946,0,0,0,0,0,Bering River catches included in Copper River catches,individual
KSK,1946,2,0,1,0,0,,individual
YUK,1946,23,0,0,0,0,,regional;individual
KTZ,1946,0,0,0,0,0,No reported catch,regional;individual;local
ALU,1946,0,0,0,0,0,Catches included in S. peninsula catches or none,local;individual;regional
BRB,1945,27,73007300,16,0,635,,individual;regional
KOD,1945,2,2041,60,9045,559,Chinook and coho and chum estimated from canned production,local;regional;individual
CKI,1945,69,1557,330,1368,306,,regional
SSE,1945,257,826,1989,16294,1780,,individual;local;regional
COP,1945,22,824,324,0,0,Includes Bering River; coho pink and chum estimated from canned,local;individual
SOP,1945,21,813,116,3640,949,Catches from Unalaksa to Castle Cape,regional;individual;local
NSE,1945,169,623,425,5345,1534,,regional;individual
NOP,1945,0,394,0,2,335,,local
YAK,1945,11,233,173,15,4,,regional;local;individual
CHG,1945,1,221,8,442,136,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,local
PWS,1945,0,176,44,11632,1754,,local
GSE,1945,0,0,0,0,0,,local;individual;regional
BER,1945,0,0,0,0,0,Bering River catches included in Copper River catches,local;regional;individual
KSK,1945,0,0,0,0,0,No reported catch,regional
YUK,1945,20,0,0,0,0,,regional;individual
KTZ,1945,0,0,0,0,0,No reported catch,local
ALU,1945,0,0,0,0,0,Catches included in S. peninsula catches or none,individual
BRB,1944,16,11546,25,55,315,,local;regional
CKI,1944,85,1940,257,1815,259,,regional
KOD,1944,1,1818,52,4955,507,Chinook and coho and chum estimated from canned production,individual
SSE,1944,152,823,940,9949,3048,,local;regional
COP,1944,10,770,294,0,0,Includes Bering River; coho pink and chum estimated from canned,regional;local
NSE,1944,173,716,275,9332,3833,,regional;individual;local
SOP,1944,10,539,239,2654,986,Catches from Unalaksa to Castle Cape,local
NOP,1944,0,415,0,3,158,,regional
CHG,1944,2,402,14,568,67,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,individual;regional
YAK,1944,3,183,91,64,0,,individual;regional;local
PWS,1944,1,141,65,8347,1209,,local;regional
GSE,1944,0,0,0,0,0,,local;regional
BER,1944,0,0,0,0,0,Bering River catches included in Copper River catches,regional;individual;local
KSK,1944,0,0,0,0,0,No reported catch,local;regional;individual
YUK,1944,14,0,0,0,0,,individual
KTZ,1944,0,0,0,0,0,No reported catch,individual
ALU,1944,0,0,0,0,0,Catches included in S. peninsula catches or none,individual;regional;local
BRB,1943,41,17330,2,0,377,,individual;local;regional
SOP,1943,22,2398,91,4360,924,Catches from Unalaksa to Castle Cape,regional;individual
KOD,1943,1,1991,60,12480,454,Chinook and coho and chum estimated from canned production,individual;local
CKI,1943,111,1468,280,1457,302,,individual;local;regional
CHG,1943,1,1248,20,96,52,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,regional;local;individual
COP,1943,20,700,186,1,0,Includes Bering River; coho pink and chum estimated from canned,local;regional;individual
NOP,1943,0,567,0,1,50,,local;regional;individual
SSE,1943,146,533,1273,13165,3136,,individual;local;regional
NSE,1943,252,454,300,4845,3697,,regional;individual
PWS,1943,0,165,73,10814,476,,regional;local
YAK,1943,1,138,107,29,0,,individual
GSE,1943,0,0,0,0,0,,regional;individual;local
BER,1943,0,0,0,0,0,Bering River catches included in Copper River catches,individual;regional
KSK,1943,0,0,0,0,0,No reported catch,individual
YUK,1943,28,0,0,0,0,,regional;local
KTZ,1943,0,0,0,0,0,No reported catch,regional;individual;local
ALU,1943,0,0,0,0,0,Catches included in S. peninsula catches or none,regional;individual;local
BRB,1942,19,6343,29,172,169,,individual
CKI,1942,95,1540,645,966,401,,individual
KOD,1942,1,1282,107,6093,565,Chinook and coho and chum estimated from canned production,individual;local;regional
SSE,1942,378,954,1414,19610,3156,,regional
SOP,1942,5,810,123,6763,1321,Catches from Unalaksa to Castle Cape,regional
CHG,1942,2,659,12,486,151,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,individual;local;regional
COP,1942,25,562,710,2,0,Includes Bering River; coho pink and chum estimated from canned,individual;local;regional
NSE,1942,180,455,612,13459,2285,,local;regional;individual
YAK,1942,0,158,185,58,0,,regional
PWS,1942,1,97,64,7002,702,,regional;local
GSE,1942,0,0,0,0,0,,regional;individual
BER,1942,0,0,0,0,0,Bering River catches included in Copper River catches,individual;regional
KSK,1942,0,0,0,0,0,No reported catch,regional;individual;local
YUK,1942,22,0,0,0,0,,local;regional
KTZ,1942,0,0,0,0,0,No reported catch,local
ALU,1942,0,0,0,0,0,Catches included in S. peninsula catches or none,individual
NOP,1942,0,0,0,0,0,No fishery,individual
BRB,1941,31,7154,35,0,524,,regional
KOD,1941,3,1730,200,7602,445,Chinook and coho and chum estimated from canned production,local;regional
CKI,1941,105,1293,359,715,272,,regional;individual
SOP,1941,13,1072,183,5347,1542,Catches from Unalaksa to Castle Cape,local;individual
SSE,1941,93,1008,1563,37016,1592,,regional;individual
CHG,1941,1,654,31,327,162,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,local
NOP,1941,1,492,0,3,30,Estimated from canned production,local;individual;regional
COP,1941,12,444,566,11,0,Includes Bering River; pink and chum estimated from canned,individual
NSE,1941,515,424,611,22978,1362,,REGIONAL
YAK,1941,5,243,341,67,5,,individual
PWS,1941,0,75,48,3775,507,,local
GSE,1941,0,0,0,0,0,,regional
BER,1941,0,0,0,0,0,Bering River catches included in Copper River catches,individual;local
KSK,1941,0,0,1,0,0,,regional;local;individual
YUK,1941,30,0,0,0,0,,regional;individual
KTZ,1941,0,0,0,0,0,No reported catch,regional
ALU,1941,0,0,0,0,0,Catches included in S. peninsula catches or none,regional
BRB,1940,15,4727,25,258,293,,individual
CKI,1940,63,1649,478,2604,281,Estimated from canned production,local
KOD,1940,1,1318,148,9998,673,Chinook and coho and chum estimated from canned production,regional;local;individual
SOP,1940,9,1040,184,7183,2326,Catches from Unalaksa to Castle Cape,individual;regional;local
SSE,1940,57,851,1107,18493,2192,,individual;regional;local
NOP,1940,1,679,0,0,66,Estimated from canned production,regional;local
NSE,1940,370,485,502,10493,2432,,individual;local;regional
COP,1940,5,436,229,0,0,Includes Bering River catches,individual;local
CHG,1940,0,250,0,87,25,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,individual;local;regional
YAK,1940,2,171,230,108,1,,local
PWS,1940,1,76,90,11543,532,,individual;local;regional
GSE,1940,0,0,0,0,0,,local
BER,1940,0,0,0,0,0,Bering River catches included in Copper River catches,individual;local;regional
KSK,1940,0,0,1,0,0,,regional;local
YUK,1940,18,0,0,0,0,,local;individual;regional
KTZ,1940,0,0,0,0,0,No reported catch,regional
ALU,1940,0,0,0,0,0,Catches included in S. peninsula catches or none,individual;regional
BRB,1939,33,13332,0,0,935,,local;individual;regional
CKI,1939,53,2335,163,319,232,Resurrection bay contribution estimated from canned production,individual
SOP,1939,17,1882,99,6005,1441,Catches from Unalaksa to Castle Cape,local
KOD,1939,2,1786,112,11741,642,Chinook and coho and chum estimated from canned production,regional
CHG,1939,2,1482,9,273,79,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,local;regional
SSE,1939,152,1098,714,17453,1843,,local;individual
NSE,1939,493,1063,324,6228,1545,,regional;individual;local
NOP,1939,4,746,0,0,82,Estimated from canned production,local;regional
COP,1939,9,634,7,3,0,Includes Bering River; pink estimated from canned,regional
YAK,1939,7,326,84,41,0,,regional;individual;local
PWS,1939,2,121,36,2075,273,,local
GSE,1939,0,0,0,0,0,,local
BER,1939,0,0,0,0,0,Bering River catches included in Copper River catches,individual;regional
KSK,1939,0,0,0,0,0,,individual;local;regional
YUK,1939,10,0,0,0,0,,individual
KTZ,1939,0,0,0,0,0,No reported catch,individual;regional
ALU,1939,0,0,0,0,0,Catches included in S. peninsula catches or none,regional
BRB,1938,46,24700,5,0,545,,regional
CKI,1938,58,2425,214,849,191,Resurrection bay contribution estimated from canned production,regional;local;individual
KOD,1938,1,1966,155,8398,640,Chinook and coho and chum estimated from canned production,regional;individual
NSE,1938,265,1089,640,9953,1740,,individual;regional;local
SSE,1938,485,1072,1359,20207,2815,,local;individual
NOP,1938,6,1010,0,0,35,Estimated from canned production,local;regional
SOP,1938,6,772,221,7169,1477,Catches from Unalaksa to Castle Cape,local;individual
COP,1938,11,768,0,2,0,Includes Bering River; pink estimated from canned,local;individual;regional
CHG,1938,1,411,24,223,71,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,regional;local
YAK,1938,7,375,201,129,1,,local;individual;regional
PWS,1938,1,116,53,7546,250,,individual
GSE,1938,,,,,,,individual;local
BER,1938,,,,,,,local
KSK,1938,,,,,,,regional
YUK,1938,,,,,,,local;regional
KTZ,1938,,,,,,,local;individual
ALU,1938,,,,,,,individual;regional
BRB,1937,,,,,,,local;regional;individual
KOD,1937,1,1881,165,16787,346,Chinook and coho and chum estimated from canned production,regional;individual
CKI,1937,86,1581,216,488,149,Resurrection bay contribution estimated from canned production,local
SOP,1937,9,1558,74,9302,1507,Catches from Unalaksa to Castle Cape,local;individual;regional
SSE,1937,609,1056,867,20988,3042,,local;individual;regional
COP,1937,14,1024,46,2,0,Includes Bering River; coho pink and chum estimated from canned,regional;local;individual
NSE,1937,263,903,356,14051,2509,,individual;local
NOP,1937,2,861,0,0,66,Estimated from canned production,individual;local;regional
CHG,1937,1,629,19,1205,123,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,regional
YAK,1937,7,228,178,127,4,,individual;local
PWS,1937,2,108,60,3332,227,,regional
BER,1937,0,29,0,0,0,,individual
GSE,1937,0,0,0,0,0,,regional;individual;local
KSK,1937,0,0,0,0,0,,individual
YUK,1937,6,0,0,0,0,,local;regional;individual
KTZ,1937,0,0,0,0,0,No reported catch,regional
ALU,1937,0,0,0,0,0,Catches included in S. peninsula catches or none,individual
BRB,1936,22,20587,24,524,259,,individual;local
SOP,1936,14,3663,285,9471,2311,Catches from Unalaksa to Castle Cape,local
KOD,1936,3,2657,184,5648,328,Chinook and coho and chum estimated from canned production,individual
CKI,1936,81,2390,328,853,265,No Resurrection Bay fishery,local;individual;regional
SSE,1936,399,1215,1094,37428,3726,,regional;individual;local
CHG,1936,1,981,40,597,114,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,regional;individual;local
NSE,1936,278,940,499,13150,3878,,regional
COP,1936,11,863,0,0,0,Pink catch estimated from canned,regional;local
NOP,1936,1,611,0,3,19,Estimated from canned production,individual;local;regional
YAK,1936,4,248,207,169,1,,individual;regional;local
PWS,1936,3,153,44,9581,219,,local;regional;individual
BER,1936,0,50,0,0,0,,individual
